City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
21,South Lake Tahoe,US,2021-05-18 00:51:52,38.9332,-119.9844,72.0,32,1,10.36
22,Busselton,AU,2021-05-18 00:53:41,-33.65,115.3333,62.01,99,100,1.01
23,Punta Arenas,CL,2021-05-18 00:51:18,-53.15,-70.9167,46.4,87,75,13.8
24,Rikitea,PF,2021-05-18 00:53:45,-23.1203,-134.9692,74.52,61,20,8.08
25,Nago,JP,2021-05-18 00:54:06,26.5881,127.9761,86.0,74,40,8.05
26,Puerto Ayora,EC,2021-05-18 00:48:55,-0.7393,-90.3518,75.0,94,66,5.01
27,Ahuimanu,US,2021-05-18 00:54:06,21.4447,-157.8378,84.2,61,40,16.11
28,A Coruna,ES,2021-05-18 00:54:07,43.3713,-8.396,55.0,100,90,4.61
29,Epe,NG,2021-05-18 00:54:07,6.5841,3.9834,78.12,92,95,5.44
30,Nakambala,ZM,2021-05-18 00:54:08,-15.8324,27.7799,60.51,59,1,3.56
31,Kodiak,US,2021-05-18 00:53:48,57.79,-152.4072,51.8,62,40,5.75
32,Mayor Pablo Lagerenza,PY,2021-05-18 00:54:08,-19.9309,-60.7718,70.45,70,0,5.14
33,Arriana,GR,2021-05-18 00:54:09,41.0833,25.7,59.04,89,73,1.52
34,Butaritari,KI,2021-05-18 00:54:09,3.0707,172.7902,82.54,80,100,14.12
35,Chokurdakh,RU,2021-05-18 00:54:09,70.6333,147.9167,31.59,97,100,9.4
36,Atuona,PF,2021-05-18 00:54:10,-9.8,-139.0333,79.23,70,11,11.45
37,Khatanga,RU,2021-05-18 00:53:43,71.9667,102.5,19.27,86,100,11.03
38,Pochutla,MX,2021-05-18 00:54:10,15.7432,-96.4661,84.99,70,75,17.27
39,The Valley,AI,2021-05-18 00:54:11,18.217,-63.0578,81.0,78,20,8.05
40,Raudeberg,NO,2021-05-18 00:54:11,61.9875,5.1352,44.01,92,17,7.87
41,Thompson,CA,2021-05-18 00:54:12,55.7435,-97.8558,41.0,56,75,10.36
42,Sztum,PL,2021-05-18 00:54:12,53.9208,19.0307,54.0,90,100,4.0
43,Upernavik,GL,2021-05-18 00:54:12,72.7868,-56.1549,31.5,98,100,7.9
44,Tuktoyaktuk,CA,2021-05-18 00:54:13,69.4541,-133.0374,37.4,70,40,13.8
45,Sola,VU,2021-05-18 00:54:13,-13.8833,167.55,86.0,84,90,11.5
46,Albany,US,2021-05-18 00:53:47,42.6001,-73.9662,66.2,37,1,4.61
47,New Norfolk,AU,2021-05-18 00:54:14,-42.7826,147.0587,59.0,74,83,5.99
48,Dikson,RU,2021-05-18 00:53:50,73.5069,80.5464,16.7,95,96,6.29
49,Kavaratti,IN,2021-05-18 00:54:14,10.5669,72.642,80.62,85,100,22.28
50,Bogashevo,RU,2021-05-18 00:54:15,56.3683,85.1447,55.4,100,75,6.71
51,Bandarbeyla,SO,2021-05-18 00:54:15,9.4942,50.8122,79.81,87,56,19.42
52,Cape Town,ZA,2021-05-18 00:49:43,-33.9258,18.4232,51.01,93,87,4.61
53,Sitka,US,2021-05-18 00:54:16,57.0531,-135.33,50.0,66,75,9.22
54,Knyaze-Volkonskoye,RU,2021-05-18 00:54:16,48.4642,135.4567,75.2,25,0,13.42
55,Victoria,HK,2021-05-18 00:51:02,22.2855,114.1577,89.01,75,91,1.01
56,Fortuna,US,2021-05-18 00:54:17,40.5982,-124.1573,57.0,82,90,12.66
57,East London,ZA,2021-05-18 00:54:17,-33.0153,27.9116,57.16,62,0,7.45
58,Apex,US,2021-05-18 00:53:27,35.7327,-78.8503,68.0,68,90,6.02
59,Naruja,GE,2021-05-18 00:54:18,41.9069,41.9542,55.4,94,0,4.61
60,Vila Franca Do Campo,PT,2021-05-18 00:54:18,37.7167,-25.4333,60.8,94,40,10.36
61,Lagoa,PT,2021-05-18 00:54:19,39.05,-27.9833,60.48,76,93,11.39
62,Yarada,IN,2021-05-18 00:54:19,17.65,83.2667,82.4,94,20,2.3
63,Cherskiy,RU,2021-05-18 00:54:19,68.75,161.3,43.45,57,72,13.94
